KEYS,en-US,it-IT,pt-BR,es-ES
POPUP_EXP_CONSINCO_POSITION,Full-Stack Developer,Sviluppatore full-stack,Desenvolvedor Full-Stack,Desarrollador full-stack
POPUP_EXP_CONSINCO_PERIOD,Apr 2018 - Oct 2020,Aprile 2018 - Ottobre 2020,Abr 2018 - Out 2020,Abril de 2018 - Octubre de 2020
POPUP_EXP_CONSINCO_BODY,"Desktop development with Centura and Oracle DB with SQL, WEB with C# and Javascript, using .NET, API, Angular and Kendo UI, fixing bugs and creating new features in order to promote the efficient development of the system as a whole, validating changes and functionality as well as writing documentation.","Sviluppo desktop con Centura e Oracle DB con SQL, WEB con C# e Javascript, utilizzando .NET, API, Angular e Kendo UI, correzione di bug e creazione di nuove funzionalità per promuovere lo sviluppo efficiente del sistema nel suo complesso, convalidando modifiche e funzionalità e scrivendo la documentazione.","Desenvolvimento desktop com Centura e Oracle DB com SQL, WEB com C# e Javascript, utilizando .NET, API, Angular e Kendo UI, corrigindo bugs e criando novas funcionalidades para promover o desenvolvimento eficiente do sistema como um todo, validando alterações e funcionalidades, bem como escrevendo documentação.","Desarrollo de escritorio con Centura y Oracle DB con SQL, WEB con C# y Javascript, utilizando .NET, API, Angular y Kendo UI, corrigiendo errores y creando nuevas características para promover el desarrollo eficiente del sistema en su conjunto, validando cambios y funcionalidades y escribiendo documentación."
POPUP_EXP_CONSINCO_SKILLS,"C#, .Net, Oracle PL/Sql, Javascript, Angular","C#, .Net, Oracle PL/Sql, Javascript, Angolare","C#, .Net, Oracle PL/Sql, Javascript, Angular","C#, .Net, Oracle PL/Sql, Javascript, Angular"
POPUP_EXP_MAGIT_TITLE,Magit IT,Magit IT,Magit TI,Magit IT
POPUP_EXP_MAGIT_POSITION,Full-Stack Developer,Sviluppatore full-stack,Desenvolvedor Full-Stack,Desarrollador full-stack
POPUP_EXP_MAGIT_PERIOD,Oct 2020 - Jul 2022,ottobre 2020 - luglio 2022,Outubro de 2020 - Julho de 2022,Octubre de 2020 - julio de 2022
POPUP_EXP_MAGIT_BODY,"- Front-End with JavaScript (AngularJS, ReactJS, Bootstrap).
- Back-End with C# (ASP.Net Core, Entity Framework, Unit Tests with FluentAssertions, Bogus, Rich and Anemic Domain Model, Mediator Pattern with MediatR, Onion Architecture, Solid Principles) and NodeJS (with AdonisJS).
- Database with SQL Server, MySql, PostgreSQL and Oracle PL/SQL.
- Devops with Jira and Azure, Pipeline Build and Release, code versioning git, Sprint & Kanban.","- Front-End con JavaScript (AngularJS, ReactJS, Bootstrap).
- Back-End con C# (ASP.Net Core, Entity Framework, Unit Test con FluentAssertions, Bogus, Rich e Anemic Domain Model, Mediator Pattern con MediatR, Onion Architecture, Solid Principles) e NodeJS (con AdonisJS).
- Database con SQL Server, MySQL, PostgreSQL e Oracle PL/SQL.
- Devops con Jira e Azure, Pipeline Build e Release, versioning del codice git, Sprint e Kanban.","- Front-end com JavaScript (AngularJS, ReactJS, Bootstrap).
- Back-end com C# (ASP.Net Core, Entity Framework, testes unitários com FluentAssertions, Bogus, Rich e Anemic Domain Model, Mediator Pattern com MediatR, Onion Architecture, Solid Principles) e NodeJS (com AdonisJS).
- Banco de dados com SQL Server, MySQL, PostgreSQL e Oracle PL/SQL.
- Devops com Jira e Azure, construção e lançamento de pipelines, versionamento de código com Git, Sprint e Kanban.","Front-End con JavaScript (AngularJS, ReactJS, Bootstrap).
Back-End con C# (ASP.Net Core, Entity Framework, Pruebas unitarias con FluentAssertions, Modelo de Dominio Bogus, Rich and Anemic, Patrón Mediador con MediatR, Arquitectura Onion, Solid Principles) y NodeJS (con AdonisJS).
Base de datos con SQL Server, MySQL, PostgreSQL y Oracle PL/SQL.
DevOps con Jira y Azure, Pipeline Build and Release, control de versiones de código Git, Sprint y Kanban."
POPUP_EXP_MAGIT_SKILLS,"C#, .Net, Sql, Javascript, Angular, React Js","C#, .Net, SQL, Javascript, Angular, React Js","C#, .Net, SQL, Javascript, Angular, React JS",Posición
POPUP_EXP_TOPGAMING_TITLE,Top Gaming,I migliori giochi,Melhores jogos,Los mejores juegos
POPUP_EXP_TOPGAMING_POSITION,Game Developer,Sviluppatore di giochi,Desenvolvedor de jogos,Desarrollador de juegos
POPUP_EXP_TOPGAMING_PERIOD,Aug 2022 - Oct 2023,Agosto 2022 - Ottobre 2023,Agosto de 2022 - Outubro de 2023,Agosto de 2022 - Octubre de 2023
POPUP_EXP_TOPGAMING_BODY,"Game development using Godot Engine. From concept to game mechanics, I worked with the team of developers and artists on not yet announced games to write and clarify GDDs and functionalities, defining patterns and project structures, as well as developing core features, animations, player inputs, UI behaviour, Audio system, API communication and best code practices.","Sviluppo di giochi con Godot Engine. Dal concept alle meccaniche di gioco, ho collaborato con il team di sviluppatori e artisti di giochi non ancora annunciati per scrivere e chiarire GDD e funzionalità, definendo pattern e strutture di progetto, oltre a sviluppare funzionalità principali, animazioni, input dei giocatori, comportamento dell'interfaccia utente, sistema audio, comunicazione API e best practice di codice.","Desenvolvimento de jogos utilizando a Godot Engine. Do conceito à mecânica do jogo, trabalhei com a equipe de desenvolvedores e artistas em jogos ainda não anunciados para escrever e esclarecer GDDs e funcionalidades, definir padrões e estruturas de projeto, além de desenvolver recursos essenciais, animações, entradas de jogadores, comportamento da interface do usuário, sistema de áudio, comunicação com APIs e melhores práticas de código.","Desarrollo de juegos con el motor Godot. Desde la concepción hasta la jugabilidad, colaboré con el equipo de desarrolladores y artistas en juegos no anunciados para escribir y clarificar los GDD y sus características, definiendo patrones y estructuras de proyecto, así como desarrollando funcionalidades principales, animaciones, entrada del jugador, comportamiento de la interfaz de usuario, sistema de audio, comunicación con la API y buenas prácticas de programación."
POPUP_EXP_TOPGAMING_SKILLS,"Godot Engine, GDScript, Javascript","Motore Godot, GDScript, Javascript","Motor Godot, GDScript, Javascript","Motor Godot, GDScript, Javascript"
POPUP_EXP_DELTAENGINE_TITLE,Delta Engine GmbH,Delta Engine GmbH,Delta Engine GmbH,Delta Engine GmbH
POPUP_EXP_DELTAENGINE_POSITION,Game Developer,Sviluppatore di giochi,Desenvolvedor de jogos,Desarrollador de juegos
POPUP_EXP_DELTAENGINE_PERIOD,Nov 2023 - Apr 2024,Novembre 2023 - Aprile 2024,Nov 2023 - Abr 2024,Noviembre de 2023 - abril de 2024
POPUP_EXP_DELTAENGINE_BODY,"Game development using in-house engine called Delta Engine. I've worked in RTS game for PC and Mobile, deciding about gameplay and implementing mechanics.","Sviluppo giochi utilizzando il motore interno Delta Engine. Ho lavorato su giochi RTS per PC e dispositivi mobili, decidendo il gameplay e implementando le meccaniche.","Desenvolvimento de jogos usando um motor interno chamado Delta Engine. Trabalhei em jogos RTS para PC e dispositivos móveis, decidindo sobre a jogabilidade e implementando mecânicas.","Desarrollo juegos con el motor gráfico interno Delta Engine. He trabajado en juegos de estrategia en tiempo real (RTS) para PC y móviles, decidiendo la jugabilidad e implementando mecánicas."
POPUP_EXP_DELTAENGINE_SKILLS,"C#, .Net, Unit Testing, Game Design","C#, .Net, test unitari, progettazione di giochi","C#, .Net, Testes Unitários, Design de Jogos","C#, .Net, pruebas unitarias, diseño de juegos"
POPUP_EXP_AMILON_TITLE,Amilon,Amilon,Amilon,Amilon
POPUP_EXP_AMILON_POSITION,Full-Stack Developer,Sviluppatore full-stack,Desenvolvedor Full-Stack,Desarrollador full-stack
POPUP_EXP_AMILON_PERIOD,Set 2024 - Present,Set 2024 - Present,Conjunto 2024 - Presente,Septiembre de 2024 - Presente
POPUP_EXP_AMILON_BODY,"Full-Stack development with C# and JavaScript, using AspNet Core, Razor Pages and SQL Server.","Sviluppo full-stack con C# e JavaScript, utilizzando AspNet Core, Razor Pages e SQL Server.","Desenvolvimento full-stack com C# e JavaScript, utilizando AspNet Core, Razor Pages e SQL Server.","Desarrollo full-stack con C# y JavaScript, utilizando AspNet Core, Razor Pages y SQL Server."
POPUP_EXP_AMILON_SKILLS,"C#, .Net, MySql, Javascript, Vue, React JS","C#, .Net, MySQL, Javascript, Vue, React JS","C#, .Net, MySQL, Javascript, Vue, React JS","C#, .Net, MySQL, Javascript, Vue, React JS"
MENU_RESUME_BUTTON,Resume,Riprendere,Retomar,Retoma el curso
MENU_RESTART_BUTTON,Restart,Riavviare,Reiniciar,Reanudar
MENU_OPTIONS_BUTTON,Options,Opzioni,Opções,Opciones
MENU_OPTIONS_AUDIO_TITLE,Audio,Audio,Áudio,Audio
MENU_OPTIONS_AUDIO_GENERAL,General,Generale,Em geral,General
MENU_OPTIONS_VIDEO_TITLE,Video,Video,Vídeo,Video
MENU_OPTIONS_VIDEO_QUALITY,Quality,Qualità,Qualidade,Calidad
MENU_OPTIONS_VIDEO_QUALITY_LOW,Low,Basso,Baixo,Bajo
MENU_OPTIONS_VIDEO_QUALITY_MED,Medium,Medio,Médio,Medio
MENU_OPTIONS_VIDEO_QUALITY_HIGH,High,Alto,Alto,Alto
MENU_OPTIONS_ADVANCED_TITLE,Advanced,Avanzato,Avançado,Avanzado
MENU_OPTIONS_ADVANCED_FPS,Show FPS,Mostra FPS,Mostrar FPS,Mostrar FPS
HUD_AREA_OVERLAY_PERSONAL,Personal,Personale,Pessoal,Personal
HUD_AREA_OVERLAY_PROFESSIONAL,Professional,Professionale,Profissional,Profesional
